All Metabolites,Traduccion,Primary Metabolites,Description Primary Metabolites,Secondary Metabolites,Description Secondary Metabolites,Saturados,Insaturados,Ácidos,Bases,Alcoholes,Aminoderivados,Amidas,Aldehídos,Glúcidos,Aminoácidos,Alcaloides
Homoserine,Ácido Homoserineo,Tyrosine,Es uno de los veinte aminoácidos que forman las proteínas. Se clasifica como un aminoácido no esencial en los mamíferos ya que su síntesis se produce a partir de la hidroxilación de otro aminoácido: la fenilalanina. Esto se considera así siempre y cuando la dieta de los mamíferos contenga un aporte adecuado de fenilalanina. Por tanto el aminoácido fenilalanina sí que es esencial.,,,,,,,,,,,,,
Trigonelline,Trigonelina,Hexanedioic acid,"El ácido adípico, también conocido como ácido hexanodioico. En la industria, es uno de los ácidos dicarboxílicos más importantes. Cada año se producen alrededor de 2.500 millones de kilogramos de este polvo blanco cristalino. La principal razón para su producción es que se utiliza como materia prima para fabricar nylon.",,,,,,,,,,,,,
Niacinamide,Niacinamida,Tetradecane,"El tetradecano es un hidrocarburo alcano con de 14 átomos de carbono, presente en las secreciones resinosas de las plantas ",,,,,,,,,,,,,
Myristic acid,Ácido Miristico,Niacinamide,"La niacinamida es una forma de vitamina B3 que desempeña un papel esencial tanto en el metabolismo humano como en el de las plantas. En las plantas, contribuye a procesos como la reparación del ADN, la síntesis de hormonas y la defensa contra los patógenos. En seres humanos, la niacinamida es reconocida por sus beneficios dermatológicos; ayuda a mejorar la barrera de la piel, reduce la inflamación, minimiza el enrojecimiento y la hiperpigmentación, y previene la aparición de manchas relacionadas con el envejecimiento o la exposición al sol. Por estas razones, es un ingrediente popular en productos cosméticos y de cuidado de la piel, incluyendo cremas y sueros destinados a promover una apariencia más uniforme y saludable de la piel. Además, es utilizada en tratamientos para mejorar la salud general de la piel y mantener su hidratación.",,,,,,,,,,,,,
D-(+)-melezitose,D-(+)-Melecitosa,"Oleic Acid, (Z)-","El ácido oleico es un ácido graso monoinsaturado perteneciente a la serie omega-9, conocido por su presencia en abundancia en varios aceites vegetales, como el aceite de oliva, de cáñamo y de aguacate. Este compuesto desempeña un papel crucial en la nutrición humana y la salud de las plantas, contribuyendo a la integridad y función de las membranas celulares. En la dieta, el ácido oleico es valorado por sus beneficios para la salud cardiovascular, ya que puede ayudar a reducir los niveles de colesterol malo mientras incrementa los niveles de colesterol bueno. Además, debido a su estabilidad y resistencia a la oxidación, el ácido oleico es frecuentemente utilizado en la industria alimentaria y cosmética, mejorando la textura y prolongando la vida útil de los productos.",,,,,,,,,,,,,
L-Glutamic acid,Ácido Glutamico,Pentanedioic acid,"El ácido pentanedioico, también conocido como ácido glutárico, es un ácido dicarboxílico con una estructura de cinco átomos de carbono, presente en muchos procesos biológicos como intermediario en el metabolismo de aminoácidos como la lisina y el triptófano. Este ácido tiene un papel crucial en los ciclos metabólicos, ayudando en la descomposición y la síntesis de moléculas importantes dentro de las células. En el contexto más amplio, el ácido glutárico es utilizado en la industria para la producción de polímeros, solventes y como precursor en la fabricación de especiales químicos. Su versatilidad y presencia en múltiples reacciones bioquímicas lo hacen un compuesto significativo tanto en la biología vegetal como en aplicaciones industriales.",,,,,,,,,,,,,
4-Aminobutanoic acid,Ácido 4-Aminobutanoico,Petroselinic acid,"Es un isómero estructural del ácido oleico, con un doble enlace en posición z en el carbono 6, también llamado ácido (6Z)-Octadec-6-enoico ",,,,,,,,,,,,,
Phenethylamine,Feniletilamina,Phenethylamine,"La feniletilamina es un compuesto orgánico natural clasificado como un alcaloide y una monoamida. Se encuentra en pequeñas cantidades en el chocolate y es conocida por su capacidad para estimular el sistema nervioso central, generando efectos que mejoran el ánimo y la alerta. Debido a estas propiedades, la feniletilamina también se utiliza como suplemento dietético. En el metabolismo de las plantas, juega un papel en la síntesis de otros alcaloides y compuestos bioactivos, y en los seres humanos, está implicada en la liberación de neurotransmisores como la dopamina y la serotonina, lo que contribuye a su popularidad en productos destinados a mejorar el bienestar emocional.",,,,,,,,,,,,,
Glycerol monostearate,Glicerol Monoestearto,Phosphoric acid,El ácido fosfórico (a veces llamado ácido ortofosfórico) es un ácido tipo oxoácido de fórmula H3PO4. ,,,,,,,,,,,,,
Ecgonine methyl ester,Metil Ester Ecgonina,Pipecolic acid,"El ácido pipecólico es un aminoácido de 6 átomos de carbono, no proteinogénico, es decir no forma parte de las proteínas. Es una sustancia intermedia del catabolismo de la lisina",,,,,,,,,,,,,
Citramalic acid,Ácido Citramalico,"2,3-Dihydroxybutanoic acid","También conocido como acido tartárico, es un ácido orgánico, presente en la uva como bitartrato de potasio, también conocido como cremor tártaro. Luis pasteur en su primera contribución a la ciencia en sus 20 años demostró separando cuidadosamente cristales de ácido tartárico que existían dos tipos de ácido tartárico, que respondían desviando la luz polarizada en sentidos contrarios. Este fenómeno se denominó isomería óptica. El ácido tartárico posee dos grupos funcionales ácidos o que lo convierte en un excelente agente acidificante en vinos y bebidas. Es utilizado ampliamente como concervante en alimentos y productos cosméticos, debido a que evita la proliferación de bacterias y hongos. ",,,,,,,,,,,,,
Pentanedioic acid,Ácido Pentanedioico,2-Aminobutanoic acid,"El ácido 2-aminobutanoico, comúnmente conocido como homoalanina, es un aminoácido no proteico que desempeña un papel fundamental en la síntesis de proteínas no ribosomales. Este proceso especial ocurre fuera de los ribosomas, las estructuras celulares típicamente involucradas en la fabricación de proteínas. Las proteínas resultantes de este proceso son cruciales para funciones biológicas específicas como la defensa antimicrobiana y la señalización celular.

La homoalanina se produce principalmente en bacterias y hongos como un metabolito secundario. En las plantas, cuando este aminoácido es producido por microorganismos asociados, se considera un compuesto xenobiótico, es decir, una sustancia ajena no producida naturalmente por la planta. Además, el ácido 2-aminobutanoico es uno de los tres isómeros del ácido aminobutírico. Los otros son el ácido gamma-aminobutírico (GABA), un importante neurotransmisor que regula la actividad neuronal, y el ácido beta-aminobutírico, que ayuda a las plantas a manejar el estrés y las enfermedades. A diferencia de estos, la homoalanina no se encuentra de forma natural en las plantas, siendo introducida a través de la interacción con microorganismos.",,,,,,,,,,,,,
Galactaric Acid,Ácido Galactarico,2-Hydroxybutyric acid,"El ácido 2-hidroxibutírico es un ácido orgánico que se destaca por su estructura de cuatro átomos de carbono, con un grupo hidroxilo unido al segundo carbono. Esta configuración le confiere propiedades únicas que son críticas tanto en el metabolismo humano como en aplicaciones médicas. Existen dos formas de este ácido, conocidas como enantiómeros: ácido (R)-2-hidroxibutírico y ácido (S)-2-hidroxibutírico, cada uno con diferentes actividades biológicas debido a su estructura especular, similar a la diferencia entre las manos izquierda y derecha.

Una función importante del ácido 2-hidroxibutírico en la medicina es su rol como biomarcador para detectar resistencia a la insulina, un estado que puede conducir a la diabetes tipo 2. La resistencia a la insulina es una condición en la que el cuerpo no responde efectivamente a la insulina, una hormona esencial para la regulación del azúcar en sangre. Medir los niveles de este ácido puede proporcionar indicaciones tempranas de resistencia a la insulina, permitiendo intervenciones preventivas que mejoren el pronóstico y manejo de la diabetes potencial.
",,,,,,,,,,,,,
Xylonic acid,Ácido Xylonico,2-Keto-l-gluconic acid,"El ácido 2-ceto-L-gluconico es un compuesto orgánico derivado de la oxidación de la glucosa, desempeñando un papel crucial como intermediario en la transformación de glucosa en vitamina C tanto en plantas como en algunos microorganismos. Este ácido se caracteriza por la presencia de un grupo cetona en el segundo carbono de su estructura molecular, resultado de la oxidación de un grupo hidroxilo, lo que modifica sus propiedades químicas y lo convierte en soluble en agua.

En la industria, el ácido 2-ceto-L-gluconico es valorado por sus propiedades quelantes, capaces de formar complejos con metales, facilitando así su tratamiento en soluciones. Además, es comúnmente usado en alimentos y bebidas para estabilizar colores y sabores, manteniendo la calidad deseada de estos productos. Desde un enfoque biotecnológico y farmacéutico, este ácido es investigado por su potencial para mejorar la producción de vitamina C en organismos genéticamente modificados, lo que es fundamental para la nutrición y la creación de suplementos dietéticos.",,,,,,,,,,,,,
Ecgonine ethyl ester,Etil Ester De Ecgonina,4-Aminobutanoic acid,"El ácido 4-aminobutanoico, conocido comúnmente como GABA, desempeña un papel crucial como neurotransmisor inhibidor en el sistema nervioso de los mamíferos. Este compuesto esencial ayuda a moderar la actividad neuronal en el cerebro, actuando como un freno natural que previene la sobreexcitación neuronal, lo que es fundamental para mantener un equilibrio mental y prevenir la ansiedad. Esta función inhibidora contribuye a la relajación cerebral y es vital para procesos como el sueño y la calma.

Más allá de su rol en el cerebro, el GABA se encuentra en varios organismos, incluyendo bacterias, donde promueve la resistencia a ambientes ácidos, una adaptación esencial para la supervivencia en condiciones desafiantes. En humanos, debido a su potencial para mejorar la relajación y el sueño, el GABA se explora como suplemento dietético. Aunque su uso como suplemento para mejorar el estado de ánimo y el sueño es prometedor, los detalles sobre su efectividad y mecanismos exactos en estas aplicaciones continúan siendo objeto de investigación. Su presencia tanto en procesos neuronales como bacterianos subraya su amplia relevancia biológica y terapéutica.",,,,,,,,,,,,,
Asparagine,Asparagina,4-Aminobutyric acid,"El ácido 4-aminobutanoico, conocido comúnmente como GABA, desempeña un papel crucial como neurotransmisor inhibidor en el sistema nervioso de los mamíferos. Este compuesto esencial ayuda a moderar la actividad neuronal en el cerebro, actuando como un freno natural que previene la sobreexcitación neuronal, lo que es fundamental para mantener un equilibrio mental y prevenir la ansiedad. Esta función inhibidora contribuye a la relajación cerebral y es vital para procesos como el sueño y la calma.

Más allá de su rol en el cerebro, el GABA se encuentra en varios organismos, incluyendo bacterias, donde promueve la resistencia a ambientes ácidos, una adaptación esencial para la supervivencia en condiciones desafiantes. En humanos, debido a su potencial para mejorar la relajación y el sueño, el GABA se explora como suplemento dietético. Aunque su uso como suplemento para mejorar el estado de ánimo y el sueño es prometedor, los detalles sobre su efectividad y mecanismos exactos en estas aplicaciones continúan siendo objeto de investigación. Su presencia tanto en procesos neuronales como bacterianos subraya su amplia relevancia biológica y terapéutica.",,,,,,,,,,,,,
Hexanedioic acid,Ácido Hexanedioico,Citramalic acid,"El ácido citramálico, un ácido orgánico naturalmente presente en muchos alimentos vegetales y en el vino, pertenece a la familia de los ácidos dicarboxílicos. Con dos grupos carboxilo en su estructura, este ácido juega un papel crucial en la regulación de la acidez en soluciones, influyendo significativamente en la complejidad del sabor y el equilibrio del vino. Su contribución al perfil gustativo del vino es esencial para definir las características distintivas de cada variedad.

Más allá de la vinificación, el ácido citramálico se utiliza ampliamente como aditivo alimentario para ajustar la acidez de los alimentos procesados, mejorando así su sabor y estabilidad. Esta regulación de la acidez es crucial no solo para el paladar sino también para la conservación de los alimentos, ya que un pH adecuadamente ajustado puede inhibir el crecimiento de microorganismos potencialmente perjudiciales. Su uso es común en la fabricación de bebidas no alcohólicas, conservas y productos lácteos, donde su eficacia en la modificación del pH asegura la calidad y seguridad del producto final.",,,,,,,,,,,,,
Xylitol,Xilitol,Myristic acid,"El ácido mirístico es un ácido graso saturado compuesto por 14 átomos de carbono, comúnmente obtenido de fuentes vegetales como el aceite de coco y la nuez moscada. En las plantas, este ácido graso es importante por su rol en la estructura y funcionalidad de las membranas celulares, contribuyendo a su rigidez y estabilidad. En la industria, el ácido mirístico se valora especialmente por su capacidad para dar consistencia y emolencia a los productos cosméticos, como cremas y lociones, mejorando su textura y facilitando su aplicación. Además, se emplea en la producción de jabones debido a sus propiedades espumantes y su efectividad en la limpieza.",,,,,,,,,,,,,
Putrescine,Putresina,Pyruvic Acid,"El ácido pirúvico es un ácido alfa-ceto que desempeña un papel importante en los procesos bioquímicos. El anión carboxilato del ácido pirúvico se conoce como piruvato. Ácido incoloro, de aroma similar al ácido acético, es miscible en agua y soluble en etanol y dietiléter. ",,,,,,,,,,,,,
DL-Ornithine,Ornitina,DocosanoicAcid,"El ácido docosanoico, también conocido como ácido behénico, es un ácido graso saturado que se encuentra principalmente en el aceite de las semillas de la planta de moringa y en otros aceites vegetales y animales. Este compuesto tiene una cadena de 22 átomos de carbono y termina en un grupo carboxílico, que es típico de los ácidos grasos.

Gracias a sus propiedades físicas, el ácido behénico es valorado en diversas aplicaciones industriales. Se utiliza como agente espesante y emoliente en la producción de cremas y lociones en la industria cosmética, mejorando la textura y la estabilidad de estos productos. Además, en la industria química, se aprovecha como agente retardador de la evaporación en disolventes, ayudando a mantener la consistencia y eficacia de pinturas y revestimientos durante su aplicación y secado. Su capacidad para modificar la velocidad de evaporación de los disolventes lo hace crucial en procesos donde se requiere un control preciso sobre las condiciones de secado.",,,,,,,,,,,,,
Shikimic acid,Ácido Shikimico,HeptadecanoicAcid,"El ácido heptadecanoico, también llamado ácido margárico, es un ácido graso saturado compuesto por una cadena lineal de 17 átomos de carbono. Este ácido graso se caracteriza por ser insoluble en agua y tener un punto de fusión de 61°C, lo que indica que se solidifica a temperaturas relativamente bajas. Aunque no es uno de los ácidos grasos más comunes, juega un papel en diversas funciones biológicas.

En las plantas, el ácido heptadecanoico puede estar involucrado en la formación de lípidos complejos que son parte de las membranas celulares, contribuyendo a la integridad y la funcionalidad celular. En aplicaciones prácticas, este ácido graso tiene usos limitados, pero puede ser empleado en la industria química para la síntesis de productos especializados como surfactantes y lubricantes. Su comportamiento como un ácido graso de cadena larga le confiere propiedades útiles para estas aplicaciones, incluyendo la estabi",,,,,,,,,,,,,
Citric acid,Ácido Citrico,"2-Butenedioic acid, (E)-","El ácido 2-butenedioico, más conocido como ácido fumárico, es un tipo de ácido orgánico que tiene dos grupos de ácido (dicarboxílico) en su estructura. Este ácido es clave en el proceso de generación de energía en las plantas y también en el cuerpo humano, ayundando a convertir los alimentos en energía utilizada por las células, un proceso que ocurre en una serie de pasos conocidos como el ciclo de Krebs.

Además de su función biológica, el ácido fumárico es ampliamente utilizado en la industria alimentaria. Gracias a su capacidad para combatir microorganismos, siendo utilizado como un conservante eficaz, ayudando a prolongar la vida útil de los alimentos. También se utiliza para ajustar la acidez de productos alimenticios, asegurando que tengan el sabor y la estabilidad adecuados. Su seguridad y efectividad lo convierten en un componente esencial en muchas fórmulas de alimentos procesados.",,,,,,,,,,,,,
Adenine,Adenina,gluconic acid lactonel,"También conocida como gluconolactona, es un sólido incoloro, es un derivado oxidado de la glucosa. Normalmente se produce por oxidación aeróbica de la glucosa en presencia de la enzima glucosa oxidasa.",,,,,,,,,,,,,
Tyrosine,Tirosina ,L-Aspartic acid,"El ácido aspártico es un aminoácido que participa en la formación de proteínas tanto en plantas como en animales. En los mamíferos, es considerado un aminoácido no esencial porque el cuerpo puede sintetizarlo internamente, sin necesidad de obtenerlo directamente de la dieta. En las plantas, el ácido aspártico tiene un rol crucial más allá de la síntesis proteica; actúa como precursor en varias rutas metabólicas vitales, especialmente bajo condiciones de estrés ambiental.

Este aminoácido está directamente involucrado en la síntesis de la asparagina, otro aminoácido importante que ayuda en el transporte y almacenamiento de nitrógeno dentro de la planta, un proceso fundamental para la adaptación y supervivencia de las plantas en diversos entornos. La capacidad del ácido aspártico para intervenir en estas funciones críticas subraya su importancia en la bioquímica vegetal y su impacto en la eficiencia y la respuesta de las plantas a condiciones adversas.",,,,,,,,,,,,,
Gulonic acid,Ácido Gulonico,Asparagine,"La asparagina es un aminoácido esencial en el desarrollo y mantenimiento de tejidos en el cuerpo humano, descubierto originalmente en los espárragos, de donde deriva su nombre. Este aminoácido no solo es un componente vital de las proteínas, sino que también juega un papel crucial en el metabolismo celular, ayudando a transformar los alimentos en energía utilizable y facilitando numerosas funciones celulares esenciales.

Además, la asparagina es importante para el sistema nervioso, donde actúa como neurotransmisor, facilitando la comunicación entre las células nerviosas. Esto es esencial para procesos como el aprendizaje y la memoria. También contribuye a regular el equilibrio y el bienestar del sistema nervioso, influyendo en el estado de ánimo y la respuesta al estrés. Debido a su papel central en tantas funciones críticas, mantener una ingesta adecuada de asparagina es fundamental para la salud general. Este aminoácido se encuentra en abundancia en alimentos ricos en proteínas como carnes, huevos, productos lácteos, pescado, legumbres y espárragos, lo que facilita su incorporación a través de una dieta equilibrada.",,,,,,,,,,,,,
Phytosphingosine1,Fitoesfingosina ,.beta.-Alanine,"La beta-alanina es un aminoácido no esencial que, aunque no participa en la construcción de proteínas, desempeña un papel vital en la salud muscular y el rendimiento deportivo. Este aminoácido se convierte en los péptidos carnosina y anserina dentro de los músculos, donde actúan como tampones neutralizando los ácidos que se acumulan durante el ejercicio intenso, como el ácido láctico. Esta acción ayuda a prevenir la fatiga muscular y permite prolongar la actividad física.

Además, la beta-alanina es precursora del ácido pantoténico, también conocido como vitamina B5. Esta vitamina es esencial para convertir los alimentos en energía y para el metabolismo de grasas y proteínas. Gracias a sus efectos sobre la resistencia muscular y la eficiencia energética, la beta-alanina es ampliamente utilizada en suplementos deportivos para mejorar la resistencia y el rendimiento en entrenamientos y competiciones, haciendo de este compuesto un favorito entre atletas y aficionados al ejercicio.",,,,,,,,,,,,,
d-Glucose,D-Glucosa,Iminodiacetic Acid,"El ácido iminodiacético es un compuesto químico utilizado ampliamente como intermediario en la producción de agentes quelantes, esenciales en muchos procesos industriales y agrícolas. Los agentes quelantes son sustancias que pueden formar complejos estables con iones metálicos, como el calcio y el magnesio, permitiendo que estos sean más fácilmente manipulados o eliminados de diferentes sistemas. En el campo de la agricultura, el ácido iminodiacético es crucial en la síntesis de herbicidas como el glifosato, uno de los herbicidas más utilizados globalmente para controlar malezas.

Además, este ácido tiene aplicaciones en la industria de los detergentes, donde se emplea para producir tensioactivos que mejoran la calidad y eficacia de los detergentes al inmovilizar los iones que podrían interferir con su acción limpiadora. Su capacidad para ""secuestrar"" iones metálicos lo hace valioso en tratamientos de agua y en procesos industriales donde se requiere controlar la dureza del agua y evitar la formación de depósitos calcáreos. Por estas razones, el ácido iminodiacético es más que un simple compuesto químico; es una herramienta fundamental en tecnologías ambientales y de manufactura.",,,,,,,,,,,,,
L-Lysine,L-Lisina,"Silanol, trimethyl-, phosphate (3:1)",Un compuesto de organosilicio que es ácido fosfórico en el que los tres grupos hidroxi están sustituidos por grupos (trimetilsilil)oxi. ,,,,,,,,,,,,,
D-(+)-Glucosamine,D-(+)-Glucosamina ,"2,3,4-Trihydroxybutyric acid","El ácido treónico, también conocido como ácido 2,3,4-trihidroxibutírico, es un compuesto orgánico que se forma a través de la oxidación de la treosa, un monosacárido simple, y la vitamina C. Este ácido se destaca por sus aplicaciones en biomedicina, especialmente por sus potenciales beneficios en el tratamiento de condiciones de salud específicas.

Una de las aplicaciones más investigadas del ácido treónico es su potencial para tratar la alopecia androgénica, una forma común de pérdida de cabello que afecta a hombres y mujeres, donde se ha sugerido que podría ayudar a controlar o revertir este tipo de calvicie. Adicionalmente, el treonato de magnesio, que es un compuesto derivado del ácido treónico, está bajo estudio por sus efectos positivos en la función cognitiva y como un posible tratamiento para la enfermedad de Alzheimer. Esta forma del ácido mejora la salud neuronal y podría ofrecer beneficios en el manejo de esta enfermedad degenerativa.

Naturalmente producido en el cuerpo durante el metabolismo de la vitamina C, el ácido treónico es crucial en numerosos procesos biológicos a nivel celular.",,,,,,,,,,,,,
4-hydroxybenzaldehyde,Ácido 4-Hydroxibenzaldeido,"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-","La cocaína, también conocida científicamente como benzoilmetilecgonina, es un alcaloide de tipo tropano que se destaca por ser un potente estimulante del sistema nervioso central. Este compuesto se encuentra naturalmente en las plantas del género Erythroxylum, en especial en las especies cultivadas Erythroxylum coca y Erythroxylum novogranatense, y desempeña un papel defensivo en las plantas al actuar como insecticida natural con efectos neurotóxicos en ciertos insectos.

Además de su función biológica en las plantas, la cocaína es ampliamente conocida por sus aplicaciones médicas y sus efectos psicoactivos en humanos. Médicamente, se utiliza como anestésico local, especialmente útil en cirugías de la laringe debido a sus efectos vasoconstrictores y analgésicos. A nivel farmacológico, la cocaína es única entre los anestésicos locales por su capacidad para bloquear la recaptación de neurotransmisores clave como la norepinefrina, la dopamina y la serotonina, lo que produce efectos estimulantes y euforia.

Sin embargo, el uso recreativo de la cocaína conlleva riesgos significativos. Su capacidad para incrementar la liberación y bloquear la recaptación de dopamina en el cerebro puede conducir a un aumento de la actividad neuronal que resulta en efectos secundarios severos, como taquicardia, hipertensión, y en casos extremos, arritmias cardíacas y crisis nerviosas. Además, la combinación de cocaína con alcohol produce cocaetileno, un compuesto con un mayor potencial tóxico y cardiotoxicidad.

La cocaína también presenta dos grupos éster que son hidrolizados tanto in vitro como in vivo a benzoilecgonina y éster de ecgonina metílica, contribuyendo a su metabolismo y eliminación del cuerpo. Su mecanismo de acción, similar al de otros anestésicos al bloquear los canales de sodio y así la transmisión del impulso nervioso, junto con sus efectos únicos sobre los neurotransmisores, la hacen una droga de alto interés tanto médico como farmacológico.",,,,,,,,,,,,,
Gallic acid,Ácido Gallico,Phytol2,"El fitol es un compuesto orgánico conocido como un diterpenoide, un tipo de alcohol graso que forma parte esencial de la clorofila, el pigmento que da a las plantas su color verde y juega un papel crucial en la fotosíntesis, el proceso por el cual las plantas convierten la luz solar en energía química. Al liberarse de la clorofila durante la degradación de esta, el fitol muestra una serie de propiedades biológicas beneficiosas.

Este metabolito secundario ha sido estudiado por sus múltiples efectos biológicos, que incluyen acciones ansiolíticas, ayudando a reducir la ansiedad; antioxidantes, protegiendo las células del daño por oxidación; citotóxicas, con potencial para matar células cancerosas; y antiinflamatorias, reduciendo la inflamación en el cuerpo. Estas propiedades hacen que el fitol sea de interés en diversas áreas de investigación y desarrollo, desde la farmacología hasta la nutrición y la cosmética, donde su uso podría ser clave para desarrollar tratamientos innovadores y suplementos dietéticos.
",,,,,,,,,,,,,
Ferulic acid,Ácido Ferulico,,,,,,,,,,,,,,,
Heptadecanoic acid,Ácido Heptadecanoico,,,,,,,,,,,,,,,
Caffeic acid,Ácido Cafeíco ,,,,,,,,,,,,,,,
Phytol,Fitol,,,,,,,,,,,,,,,
Lactose,Ácido Lactoseo,,,,,,,,,,,,,,,
"13-Octadecenoic acid, (E)-",Ácido 13-Octadecenoico,,,,,,,,,,,,,,,
Glyceryl-glycoside ether,Ácido Glycerylo,,,,,,,,,,,,,,,
Glucopyranose,Ácido Glucopyranoseo,,,,,,,,,,,,,,,
5-0-Coumaroyl-D-quinic acid,Ácido 5-0-Cumaroilquinico,,,,,,,,,,,,,,,
Galactinol,Galactinol,,,,,,,,,,,,,,,
4-0-Coumaroyl-D-quinic acid,Ácido 4-0-Cumaroilquinico,,,,,,,,,,,,,,,
3-0-Coumaroyl-D-quinic acid,Ácido 3-0-Cumaroilquinico,,,,,,,,,,,,,,,
Chlorogenic acid,Ácido Clorogenico,,,,,,,,,,,,,,,
4-Hydroxycinnamic acid,Ácido 4-Hidroxicinnamico,,,,,,,,,,,,,,,
delta. Amino levulinic acid tri-,Ácido (D)-amino Levulinco ,,,,,,,,,,,,,,,
Dotriacontane,Dotriacontano,,,,,,,,,,,,,,,
gluconic acid lactonel,Ácido Gluconico,,,,,,,,,,,,,,,
"Silanol, trimethyl-, phosphate (3:1)",Silanol,,,,,,,,,,,,,,,
"2,3,4-Trihydroxybutyric acid","Ácido 2,3,4-Trihydroxibutirico",,,,,,,,,,,,,,,
"8-Azabicyclo[3.2.1]octane-2-carboxylic acid, 3- (benzoyloxy)-8-methyl-, ethyl ester, [1R-(exo,exo)]-",8-Azabiciclo,,,,,,,,,,,,,,,
Phytol2,Fitol2,,,,,,,,,,,,,,,
Iminodiacetic Acid,Ácido Iminodiacetico,,,,,,,,,,,,,,,
Petroselinic acid,Ácido Petroselínico,,,,,,,,,,,,,,,
